,TRGV10;TRGJ1,TRGV10;TRGJP1,TRGV1;TRGJ1,TRGV1;TRGJP,TRGV1;TRGJP2,TRGV2;TRGJ1,TRGV2;TRGJP,TRGV2;TRGJP1,TRGV2;TRGJP2,TRGV3;TRGJ1,TRGV3;TRGJP,TRGV3;TRGJP1,TRGV3;TRGJP2,TRGV4;TRGJ1,TRGV4;TRGJP,TRGV4;TRGJP1,TRGV4;TRGJP2,TRGV5;TRGJ1,TRGV5;TRGJP,TRGV5;TRGJP1,TRGV5;TRGJP2,TRGV5P;TRGJ1,TRGV5P;TRGJP1,TRGV5P;TRGJP2,TRGV6;TRGJ1,TRGV6;TRGJP2,TRGV7;TRGJ1,TRGV7;TRGJP,TRGV7;TRGJP1,TRGV7;TRGJP2,TRGV8;TRGJ1,TRGV8;TRGJP,TRGV8;TRGJP1,TRGV8;TRGJP2,TRGV9;TRGJ1,TRGV9;TRGJP,TRGV9;TRGJP1,TRGV9;TRGJP2
BW_10__TRG.csv,,,,,,0.22615495421339643,0.00030867373186541823,0.01965222759543163,0.044037452412799674,0.08128408272456014,0.0011318036835065335,0.0007202387076859759,0.00174915114723737,0.11585554069348698,0.00010289124395513942,0.002057824879102788,0.005144562197756971,0.0535034468566725,,0.0036011935384298796,0.011112254347155057,0.00010289124395513942,,,,,0.09219055458380492,,,,0.11256302088692252,,0.0015433686593270912,0.02850087457557362,0.15186747607778578,0.0433172137051137,0.0026751723428336247,0.0008231299516411153
BW_11__TRG.csv,,,0.00040905372238887375,,,0.13485137714753204,0.0025906735751295338,0.015953095173166076,0.0715844014180529,0.11576220343605127,0.0002727024815925825,0.00040905372238887375,0.018952822470684482,0.04499590946277611,,,0.0012271611671666213,0.028906463048813745,,0.0008181074447777475,0.014044177802017999,0.00013635124079629124,,,,,0.007772020725388601,0.0002727024815925825,,0.001636214889555495,0.03940550859012817,,0.01963457867466594,0.004908644668666485,0.3802836105808563,0.09394600490864467,0.0008181074447777475,0.00040905372238887375
BW_12__TRG.csv,,,,,,0.13090179414542022,0.001534466477809254,0.01593484419263456,0.07707743153918792,0.04131255901794145,,0.0005901794145420207,0.007082152974504249,0.044381491973559964,,,0.4264636449480642,0.026794145420207742,,,,0.00011803588290840416,,,,,0.041666666666666664,0.0008262511803588291,0.0009442870632672333,0.00011803588290840416,0.05583097261567516,0.00023607176581680832,0.002360717658168083,0.012157695939565628,0.08569405099150142,0.022308781869688384,0.0027148253068932956,0.002950897072710104
BW_13__TRG.csv,,,,,,0.16443594646271512,0.00019120458891013384,0.0017208413001912047,0.08087954110898661,0.2326959847036329,,,0.0030592734225621415,0.09579349904397706,0.0038240917782026767,0.0009560229445506692,0.001147227533460803,0.06711281070745698,,0.00019120458891013384,0.00019120458891013384,0.0005736137667304016,,,,,0.008413001912045888,,0.0013384321223709368,0.005353728489483747,0.07151051625239006,,0.0028680688336520078,0.012619502868068833,0.2282982791586998,0.01586998087954111,,0.0009560229445506692
BW_14__TRG.csv,,,,,,0.10642201834862386,,0.012844036697247707,0.031192660550458717,0.06605504587155964,,,,0.1651376146788991,,0.011009174311926606,0.003669724770642202,0.14678899082568808,,,0.001834862385321101,,,,,,0.05504587155963303,,,,0.29908256880733947,,0.003669724770642202,0.023853211009174313,0.03302752293577982,0.03853211009174312,0.001834862385321101,
BW_15__TRG.csv,,,,,,0.153804169850453,5.457919441109049e-05,0.0010370046938107194,0.08607138958628971,0.27262307608339703,,5.457919441109049e-05,0.0013644798602772622,0.07772077284139287,0.00442091474729833,0.000982425499399629,0.0008186879161663574,0.0556707782993123,,5.457919441109049e-05,0.00021831677764436196,5.457919441109049e-05,,,,,0.005457919441109049,,0.0007641087217552669,0.003438489247898701,0.05714441654841174,,0.0013099006658661718,0.00895098788341884,0.2584324855365135,0.008241458356074665,0.00010915838882218098,0.001200742277043991
BF__TRG.csv,,,,,,0.1454418928322895,0.07863604732080724,0.15866388308977036,0.03897007654836465,0.021572720946416143,,,0.006958942240779402,0.09951287404314545,,0.0027835768963117608,0.0041753653444676405,0.055671537926235214,,,,0.0020876826722338203,,,,,0.022268615170494086,,,,0.022268615170494086,,,,0.21433542101600556,0.11064718162839249,,0.016005567153792623
iRNormal_088_R__TRG.csv,,,9.827044025157233e-05,,,0.26808176100628933,,0.005601415094339622,0.049626572327044025,0.03665487421383648,,0.00039308176100628933,0.016214622641509434,0.2556996855345912,,0.007959905660377358,0.024174528301886794,0.11979166666666667,,0.0012775157232704402,0.00019654088050314466,,,,,,0.02918632075471698,,0.0004913522012578616,0.00019654088050314466,0.04029088050314465,0.005208333333333333,0.0005896226415094339,0.0023584905660377358,0.059453616352201255,0.07517688679245282,0.00019654088050314466,0.0010809748427672956
WJW__TRG.csv,,,,,,0.09233926128590972,0.005129958960328317,0.05027359781121751,0.014363885088919288,0.09302325581395349,0.0030779753761969904,0.01709986320109439,0.0003419972640218878,0.213406292749658,,0.03112175102599179,0.07729138166894665,0.04958960328317374,,0.02667578659370725,,,,,,,0.006155950752393981,,0.0023939808481532147,,0.019151846785225718,0.001709986320109439,0.001709986320109439,0.004445964432284542,0.19835841313269495,0.08686730506155951,0.0030779753761969904,0.0023939808481532147
LFJ__TRG.csv,,,,,,0.13546290424857324,0.001030437539632213,0.008639822447685479,0.019816106531388714,0.0409004438807863,0.0277425491439442,0.002060875079264426,0.009908053265694357,0.12262206721623335,0.0005548509828788839,0.08600190234622701,0.004755865567533291,0.1063728598604946,0.00023779327837666455,0.0023779327837666455,0.002060875079264426,0.001030437539632213,,,,,0.010859226379201014,7.926442612555485e-05,0.0011097019657577679,0.0001585288522511097,0.03337032339885859,0.0005548509828788839,0.010225110970196575,0.006975269499048827,0.10724476854787571,0.24762206721623337,0.008877615726062143,0.0013474952441344325
