,IGLV1-36,IGLV1-40,IGLV1-41,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV1-62,IGLV10-54,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-28,IGLV2-33,IGLV2-34,IGLV2-5,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-13,IGLV3-16,IGLV3-19,IGLV3-2,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-26,IGLV3-27,IGLV3-32,IGLV3-6,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-35,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,IGLVI-70
DDY__IGL.csv,,0.06514560192134494,,0.02882017412188532,0.016511558090663465,0.0009006304413089162,0.10777544280996698,,0.00870609426598619,0.08976283398378865,0.18733113179225458,0.003002101471029721,0.023716601621134793,,,,,0.08976283398378865,0.04142900030021015,0.026418492945061545,0.003302311618132693,,0.0015010507355148605,0.04983488441909337,,0.08616031221855298,,0.10387271089762834,,0.004503152206544582,,,0.003902731912338637,,,0.017111978384869407,0.0024016811768237767,0.011708195737015911,,0.0009006304413089162,0.012008405884118884,,0.0003002101471029721,0.006904833383368358,,0.006304413089162414,
GH03_HJ625__IGL.csv,0.0008771288648490608,0.06322637234120312,0.0004385644324245304,0.045025948395585116,0.015349755134858563,0.00029237628828302024,0.46831371975732766,,0.009356041225056648,0.0491192164315474,0.10138147796213727,0.004970396900811344,0.05138513266574081,,,,0.00029237628828302024,0.0809882318543966,0.01184123967546232,0.0056282435494481396,0.00014618814414151012,,0.0010233170089905708,0.011256487098896279,,0.02529054893648125,,0.02178203347708501,,0.0016811636576273665,,7.309407207075506e-05,0.0010964110810613259,,0.0018273518017688766,0.008917476792632117,0.0008040347927783057,0.006797748702580221,7.309407207075506e-05,0.0004385644324245304,0.00577443169358965,,0.001169505153132081,0.002339010306264162,7.309407207075506e-05,0.0008040347927783057,0.00014618814414151012
GH03_W_HNY1228__IGL.csv,0.00506050605060506,0.09042904290429044,0.00044004400440044003,0.07194719471947195,0.04983498349834983,,0.17865786578657866,,0.0016501650165016502,0.058525852585258525,0.12574257425742574,0.006160616061606161,0.04565456545654566,,,,0.00143014301430143,0.07711771177117711,0.04191419141914191,0.01221122112211221,0.00011001100110011001,,0.0026402640264026403,0.03256325632563256,,0.015621562156215622,0.00022002200220022002,0.07645764576457646,,0.007150715071507151,,0.00033003300330033004,0.00407040704070407,0.00033003300330033004,0.007700770077007701,0.010671067106710671,0.0020902090209020904,0.00935093509350935,0.00055005500550055,0.00253025302530253,0.029592959295929592,0.00044004400440044003,0.0038503850385038503,0.00286028602860286,0.019691969196919692,0.004180418041804181,0.00022002200220022002
GH03_W_LXZ1225__IGL.csv,0.004855573276625908,0.09144072301967039,0.0012759170653907496,0.04688995215311005,0.033740917951444266,0.0001063264221158958,0.13347510189615452,,0.01063264221158958,0.05188729399255715,0.15371256423888002,0.003721424774056353,0.04345206450469608,3.54421407052986e-05,,,0.004394825447457026,0.053942938153464466,0.04766967924862662,0.020202020202020204,0.0006379585326953748,,0.0053872053872053875,0.04586213007265639,,0.08048910154173312,0.0006025163919900762,0.059790891369838735,,0.005741626794258373,,0.000354421407052986,0.008754208754208754,0.0008506113769271664,0.004182172603225235,0.022966507177033493,0.003969519758993443,0.008541555909976963,0.000886053517632465,0.002410065567960305,0.028495481127060074,,0.0029771398192450825,0.002161970583023215,0.007690944533049796,0.00556441609073188,0.0002480949849370902
GH03_W_ZXM1225__IGL.csv,0.006664096491711186,0.08839566007600375,0.0017624056837583302,0.0592058159387564,0.057057884011675934,0.00016522553285234346,0.1412127554111362,,0.027592663986341356,0.05331277193368949,0.11350994106955994,0.003634961722751556,0.03783664702318665,5.507517761744782e-05,,,0.003800187255603899,0.04940243432285069,0.03480751225422702,0.012667290852012998,0.00022030071046979128,5.507517761744782e-05,0.003304510657046869,0.05347799746654183,5.507517761744782e-05,0.07247893374456132,0.00022030071046979128,0.0579390868535551,,0.005727818472214573,5.507517761744782e-05,0.00027537588808723907,0.004846615630335407,0.0008261276642617172,0.011180261056341907,0.017073305061408823,0.005177066696040095,0.007490224155972903,0.0003855262433221347,0.0024233078151677037,0.03287988103761635,,0.0028639092361072865,0.00402048796607369,0.021314093737952306,0.0043509390317783775,0.00027537588808723907
BW_1__IGL.csv,0.005344295991778006,0.09146968139773895,0.003083247687564234,0.05775950668036999,0.043782117163412126,0.0006166495375128469,0.12291880781089415,,0.009044193216855087,0.034121274409044194,0.12065775950668037,0.004316546762589928,0.034532374100719423,,,,0.0051387461459403904,0.02816032887975334,0.0355601233299075,0.012332990750256937,0.0012332990750256938,,0.0057553956834532375,0.0947584789311408,,0.08509763617677286,0.0012332990750256938,0.06536485097636177,,0.00472764645426516,,0.00020554984583761563,0.0036998972250770813,0.001644398766700925,0.0034943473792394654,0.027543679342240494,0.009249743062692703,0.00986639260020555,0.001644398766700925,0.002672147995889003,0.021788283658787256,0.00020554984583761563,0.016855087358684483,0.010688591983556012,0.014799588900308325,0.008221993833504625,0.00041109969167523125
BW_2__IGL.csv,0.005084966752140467,0.13481681081316008,0.0005215350515015864,0.08474944586900778,0.05784692946238428,0.0003476900343343909,0.13181798426702596,,0.002433830240340736,0.0457212395149724,0.114085792515972,0.01064800730149072,0.03502977095918988,,,,0.0016080664087965578,0.06445304011473771,0.03707244991090443,0.010865313572949715,0.0001303837628753966,,0.0036072841062193056,0.03894128384545178,,0.03928897387978617,0.00039115128862618974,0.04728584466947716,,0.004302664174888087,,0.00047807379720978747,0.0039984353948454955,0.0005215350515015864,0.0026511365117997308,0.02629405884653831,0.002433830240340736,0.0067364944152288235,0.0003476900343343909,0.004433047937763484,0.06028075970272502,4.3461254291798863e-05,0.005606501803642053,0.009039940892694163,0.00039115128862618974,0.005606501803642053,8.692250858359773e-05
BW_4__IGL.csv,0.012102257274952406,0.09834103889039979,0.0002991569214033179,0.08028283927114495,0.049904813706826215,0.00021756867011150395,0.13905357628501497,,0.002828392711449551,0.03220016317650258,0.056486265977699214,0.005765569757954854,0.04218112591786783,,,,0.0010606472667935817,0.036605928746260535,0.055724775632308945,0.026760946423714984,0.00021756867011150395,,0.0026380201251019852,0.036796301332608104,,0.0821049768833288,0.00024476475387544196,0.1141691596410117,,0.01898286646722872,,0.00016317650258362796,0.009817786238781616,0.00032635300516725593,0.002420451454990481,0.017704650530323635,0.0014141963557247755,0.003290726135436497,,0.0014141963557247755,0.043595322273592606,,0.006037530595594235,0.004541745988577645,0.011775904269785151,0.0023932553712265434,0.00013598041881968996
BW_9__IGL.csv,0.004677790965579837,0.1632339593660546,0.00027927110242267683,0.08210570411226699,0.03504852335404594,0.0004887244292396844,0.0476157229630664,,0.010891572994484396,0.042588843119458215,0.17852405222369616,0.003071982126649445,0.04133212315855617,,,6.981777560566921e-05,0.0007679955316623612,0.02450603923758989,0.055086224952873,0.003071982126649445,0.0006283599804510229,,0.002792711024226768,0.049500802904419466,,0.04635900300216435,0.0025832576974097604,0.08105843747818195,,0.032604901207847516,,6.981777560566921e-05,0.0029323465754381066,0.000349088878028346,0.009914124136005027,0.024436221461984223,0.0009774488584793689,0.003700342107100468,0.0016756266145360609,0.0016756266145360609,0.034908887802834604,,0.003071982126649445,0.004119248760734483,0.0011170844096907073,0.002024715492564407,0.00013963555121133841
BW_CT0530__IGL.csv,0.0022471910112359553,0.09304440877474586,0.00032102728731942215,0.09218833600856073,0.045425361155698236,0.00026752273943285177,0.10652755484216159,,0.043873729266987696,0.0386302835741038,0.11166399143927234,0.015141787051899412,0.036490101658640986,,,,0.001337613697164259,0.0830390583199572,0.04301765650080257,0.01647940074906367,0.00026752273943285177,,0.003317281968967362,0.038309256286784374,,0.06340288924558588,0.00016051364365971107,0.06960941680042804,,0.011449973247726057,,0.00010700909577314071,0.0040128410914927765,0.000588550026752274,0.005457463884430177,0.014392723381487426,0.004975922953451044,0.007383627608346709,5.3504547886570356e-05,0.0009630818619582664,0.01792402354200107,5.3504547886570356e-05,0.0068485821294810055,0.007383627608346709,0.005510968432316747,0.008132691278758694,
