,TRGV10;TRGJ1,TRGV10;TRGJP1,TRGV1;TRGJ1,TRGV1;TRGJP,TRGV1;TRGJP2,TRGV2;TRGJ1,TRGV2;TRGJP,TRGV2;TRGJP1,TRGV2;TRGJP2,TRGV3;TRGJ1,TRGV3;TRGJP,TRGV3;TRGJP1,TRGV3;TRGJP2,TRGV4;TRGJ1,TRGV4;TRGJP,TRGV4;TRGJP1,TRGV4;TRGJP2,TRGV5;TRGJ1,TRGV5;TRGJP,TRGV5;TRGJP1,TRGV5;TRGJP2,TRGV5P;TRGJ1,TRGV5P;TRGJP1,TRGV5P;TRGJP2,TRGV6;TRGJ1,TRGV6;TRGJP2,TRGV7;TRGJ1,TRGV7;TRGJP,TRGV7;TRGJP1,TRGV7;TRGJP2,TRGV8;TRGJ1,TRGV8;TRGJP,TRGV8;TRGJP1,TRGV8;TRGJP2,TRGV9;TRGJ1,TRGV9;TRGJP,TRGV9;TRGJP1,TRGV9;TRGJP2
BW_6__TRG.csv,,,,,,0.24884182660489743,0.0006618133686300463,0.01455989410986102,0.03838517538054269,0.08802117802779616,0.001985440105890139,,0.001985440105890139,0.14824619457313037,,0.001985440105890139,0.001985440105890139,0.06882859033752482,,0.0026472534745201853,0.005956320317670417,,,,,,0.09596293845135671,,,0.0006618133686300463,0.07677035076108538,,0.0006618133686300463,0.008603573792190603,0.1171409662475182,0.06882859033752482,0.005956320317670417,0.0013236267372600927
BW_7__TRG.csv,,,,,,0.12329749103942653,,0.007168458781362007,0.07813620071684588,0.07455197132616488,,,0.017921146953405017,0.16559139784946236,,,,0.017921146953405017,,0.0007168458781362007,,,,,,,0.022222222222222223,,,,0.02939068100358423,,,0.00931899641577061,0.22508960573476702,0.12043010752688173,0.0035842293906810036,0.10465949820788531
BW_10__TRG.csv,,,,,,0.2040224327982982,0.0005801585766776252,0.020692322568168633,0.04467221040417714,0.09243859988396828,0.0013537033455811255,0.0011603171533552505,0.0032875652678398763,0.1326629278669503,0.00019338619222587506,0.0034809514600657515,0.005608199574550377,0.0674917810868304,,0.0038677238445175015,0.01257010249468188,0.00019338619222587506,,,,,0.08431637981048153,,,,0.10249468187971379,,0.0029007928833881262,0.028814542641655387,0.13614387932701605,0.046025913749758264,0.0036743376522916263,0.0013537033455811255
BW_11__TRG.csv,,,0.000757002271006813,,,0.14711077466565733,0.0025233409033560434,0.016654049962149888,0.0757002271006813,0.11556901337370679,0.0005046681806712087,0.000757002271006813,0.019934393136512744,0.0524854907898057,,,0.002271006813020439,0.03305576583396417,,0.0012616704516780217,0.014887711329800657,0.00025233409033560434,,,,,0.013121372697451426,0.0005046681806712087,,0.0020186727226848347,0.050971486247792075,,0.02195306585919758,0.008074690890739339,0.32122129699722435,0.09639162250820085,0.0012616704516780217,0.000757002271006813
BW_12__TRG.csv,,,,,,0.15716887848035388,0.00156128024980484,0.021597710122300287,0.08456934686442884,0.06427270361696591,,0.0013010668748373666,0.009888108248763986,0.060109289617486336,,,0.25995316159250587,0.03538901899557637,,,,0.00026021337496747333,,,,,0.05620608899297424,0.00156128024980484,0.0020817069997397866,0.00026021337496747333,0.08248763986468904,0.0005204267499349467,0.004423627374447047,0.015873015873015872,0.10278428311215196,0.03044496487119438,0.00312256049960968,0.004163413999479573
BW_13__TRG.csv,,,,,,0.16679188580015025,0.0003756574004507889,0.0033809166040570998,0.07400450788880542,0.19083395942900075,,,0.004507888805409466,0.1183320811419985,0.0033809166040570998,0.0018782870022539444,0.002253944402704733,0.08226897069872277,,0.0003756574004507889,0.0003756574004507889,0.0011269722013523666,,,,,0.014274981217129978,,0.002629601803155522,0.005634861006761833,0.08264462809917356,,0.005259203606311044,0.010894064613072877,0.20398196844477837,0.02291510142749812,,0.0018782870022539444
BW_14__TRG.csv,,,,,,0.09763313609467456,,0.020710059171597635,0.038461538461538464,0.07692307692307693,,,,0.1834319526627219,,0.01775147928994083,0.005917159763313609,0.12130177514792899,,,0.0029585798816568047,,,,,,0.05917159763313609,,,,0.23964497041420119,,0.005917159763313609,0.026627218934911243,0.05029585798816568,0.05029585798816568,0.0029585798816568047,
BW_15__TRG.csv,,,,,,0.17085038151056064,0.00011058277120424638,0.001990489881676435,0.08470640274245272,0.22857458807917727,,0.00011058277120424638,0.0024328209664934205,0.09952449408382175,0.004533893619374101,0.0016587415680636957,0.0016587415680636957,0.06900364923144973,,0.00011058277120424638,0.00044233108481698554,0.00011058277120424638,,,,,0.009067787238748203,,0.0011058277120424638,0.003428065907331638,0.06701315934977331,,0.002101072652880681,0.008625456153931217,0.22802167422315603,0.012938184230896826,0.00022116554240849277,0.0016587415680636957
BF__TRG.csv,,,,,,0.16230366492146597,0.060732984293193716,0.13089005235602094,0.03664921465968586,0.020942408376963352,,,0.009424083769633508,0.09842931937172775,,0.004188481675392671,0.004188481675392671,0.05654450261780105,,,,0.0020942408376963353,,,,,0.030366492146596858,,,,0.02617801047120419,,,,0.2,0.13717277486910995,,0.019895287958115182
iRNormal_088_R__TRG.csv,,,0.00019376089905057158,,,0.2305754698701802,,0.008719240457275722,0.04630885487308661,0.05464057353226119,,0.0007750435962022863,0.014725828327843441,0.2528579732609959,,0.005619066072466576,0.01918232900600659,0.09998062391009495,,0.001937608990505716,0.00038752179810114316,,,,,,0.034489440031001746,,0.000968804495252858,0.00038752179810114316,0.05425305173416005,0.007944196861073435,0.0011625653943034295,0.003875217981011432,0.06432861848478977,0.09436155783762837,0.00038752179810114316,0.001937608990505716
