,IGLV1-36,IGLV1-40,IGLV1-41,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV1-62,IGLV10-54,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-28,IGLV2-33,IGLV2-34,IGLV2-5,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-13,IGLV3-16,IGLV3-19,IGLV3-2,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-26,IGLV3-27,IGLV3-32,IGLV3-6,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-35,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,IGLVI-70
BW_5__IGL.csv,0.006455866255348791,0.09527067369887551,0.00013682953527714202,0.03931983281918599,0.03951885759777092,6.219524330779183e-05,0.09796994725843368,,0.025885660264702955,0.02880883670016917,0.05989401930540352,0.002350980197034531,0.042479351179221816,2.4878097323116727e-05,,,0.0005100009951238929,0.1615708030649816,0.015387103194347697,0.012874415364712908,6.219524330779183e-05,,0.000820977211662852,0.021867847547019603,,0.09525823465021395,1.2439048661558363e-05,0.1288561050850831,,0.003209274554682058,,1.2439048661558363e-05,0.0019778087371877797,0.0008085381630012937,0.027801273758582944,0.016680764255149767,0.0011195143795402528,0.02287541048860583,0.00011195143795402527,0.0006965867250472683,0.016295153746641457,,0.003209274554682058,0.0024753706836501146,0.022614190466713105,0.004303910836899194,0.000410488605831426
BW_6__IGL.csv,0.003638116945735075,0.11861137897782063,0.00013149820285789427,0.060576838783203295,0.035899009380205134,0.00026299640571578853,0.08713947576049794,,0.024458665731568335,0.061584991671780484,0.1761199263610064,0.0037257824143070045,0.031997896028754275,,,,0.0014903129657228018,0.05702638730604015,0.03493468922591391,0.002717629525729815,0.00026299640571578853,,0.0016656439028666608,0.059568685894626106,,0.03708249320592619,0.00035066187428771806,0.056062067151748926,,0.018804243008678882,,0.00013149820285789427,0.0022793021828701673,0.00013149820285789427,0.027351626194442008,0.033882703603050755,0.0011396510914350837,0.00810905584290348,,0.003287455071447357,0.03629350398877882,,0.0037257824143070045,0.0048216007714561235,0.0005698255457175418,0.0038134478828789338,0.00035066187428771806
BW_7__IGL.csv,0.0028417442430181284,0.2560999510044096,0.00014698677119059285,0.07403233708966193,0.028074473297403233,0.00034296913277805,0.026408623223909848,,0.08324350808427242,0.026849583537481625,0.14208721215090642,0.01602155805977462,0.04042136207741303,,,,,0.05658990690837824,0.011366976972072514,0.003478686918177364,0.00034296913277805,,0.0016168544830965214,0.046741793238608526,,0.01567858892699657,0.0002449779519843214,0.039539441450269476,9.799118079372857e-05,0.004213620774130328,,,0.0005879470847623714,4.8995590396864285e-05,0.006957373836354728,0.0150906418422342,0.0027437530622244,0.008672219500244977,4.8995590396864285e-05,0.0020088192062714355,0.041009309162175406,,0.0051935325820676136,0.014796668299853013,0.024301812836844683,0.0020578147966682997,
BW_8__IGL.csv,0.0008124866367329484,0.2812486636732949,0.0003848620910840282,0.025657472738935216,0.06658114175753688,0.00029933718195424415,0.05661748984391704,,0.01646354500748343,0.037331622835150735,0.11913619841778918,0.005388069275176395,0.05700235193500107,,,,0.0009835364549925167,0.019841778918109898,0.05007483429548856,0.03690399828950182,0.0007269617276031644,,0.0001710498182595681,0.05088732093222151,,0.012486636732948472,4.276245456489202e-05,0.0268120590121873,,0.036861235834936924,,0.00047038700021381227,0.00047038700021381227,0.00042762454564892024,0.0010262989095574087,0.006371605730168912,0.0003848620910840282,0.0016249732734658969,0.0001282873636946761,0.0025229848193286295,0.042334830019243104,,0.0038913833654051744,0.005644644002565747,0.029634381013470174,0.002309172546504169,4.276245456489202e-05
BW_11__IGL.csv,0.002074669052218849,0.08448090447957213,0.0002474375933838994,0.07460243440524568,0.05016321364332823,0.00032357223750202233,0.16266166715836958,,0.07918002988284782,0.03243335839432036,0.09498748536787309,0.009060022650056626,0.027484606526642367,9.516830514765363e-06,,,0.000551976169856391,0.046289863623818726,0.03884770216127221,0.01691140782473805,7.61346441181229e-05,,0.00037115639007584915,0.05166687286466115,,0.051248132322011475,9.516830514765363e-06,0.060222503497435215,,0.00603367054636124,,2.8550491544296087e-05,0.0022554888319993908,0.00019033661029530725,0.009278909751896228,0.024163232676989256,0.0023601739676618098,0.003226205544505458,0.000104685135662419,0.0010183008650798938,0.03331842363219353,,0.004292090562159179,0.01011639083719558,0.013551966653025877,0.0060431873768760054,0.00011420196617718435
BW_12__IGL.csv,0.0021408408010154785,0.07902165469942975,0.00028418240721444403,0.06483147983252184,0.057025936381031775,0.00017050944432866642,0.10634105677964496,,0.043555690279067125,0.05291476422332948,0.12378985658261182,0.006820377773146657,0.03285148627398973,,,,0.0007957107402004433,0.08866491105090654,0.0380993880605498,0.010325294128791468,9.472746907148135e-05,,0.002860769565958737,0.07837750790974367,,0.02432601405755641,0.00015156395051437016,0.050148722126442224,1.894549381429627e-05,0.006990887217475324,,5.683648144288881e-05,0.00827918079684747,0.0003789098762859254,0.007199287649432583,0.025519580167857076,0.0005683648144288881,0.011310459807134873,5.683648144288881e-05,0.0005304738268002956,0.033021995718318396,3.789098762859254e-05,0.009188564499933691,0.006820377773146657,0.024856487884356706,0.0015156395051437017,5.683648144288881e-05
BW_13__IGL.csv,0.002878499994311265,0.06240542477785489,0.00028443675833115265,0.08008601367571934,0.07354396823410284,0.00023892687699816821,0.1538575313164871,,0.0012515217366570717,0.08343098995369369,0.1396470708702627,0.0066899525559487106,0.028944284527778093,,,,0.0004892312243295826,0.08458011445735156,0.04844526867896192,0.017930893245195863,0.00017066205499869158,,0.0012628992069903177,0.03821692284937367,,0.03137906317909276,0.0005006086946628287,0.03395037147440638,,0.0038114525616374456,,0.0006712707496615202,0.002810235172311788,0.00013652964399895327,0.007065409076945832,0.022311219323495612,0.0001820395253319377,0.006701330026281957,2.2754940666492212e-05,0.00039821146166361374,0.026543638287463166,1.1377470333246106e-05,0.006246231212952112,0.018169820122194032,0.011240940689247152,0.003435996040640324,5.688735166623053e-05
BW_14__IGL.csv,0.003431685319629585,0.045405163048164304,0.000344892996947697,0.07216885961130559,0.0563382710514063,8.622324923692425e-05,0.1027781130904137,,0.0034834192691717393,0.04762972287847695,0.1633240787045819,0.0024487402783286484,0.04114573453586025,,,,0.000344892996947697,0.07311731535291176,0.035523978685612786,0.009312110917587818,8.622324923692425e-05,,0.00024142509786338789,0.052509958785286866,,0.025021986928555416,0.0008449878425218576,0.07932538929797031,,0.003793822966424667,,0.0001034678990843091,0.004155960613219749,0.0001379571987790788,0.0015175291865698666,0.04223214747624549,0.0018624221835175636,0.0020866026315335667,,0.00032764834710031213,0.06446050112952456,1.724464984738485e-05,0.013347358981875872,0.04676749038610771,0.0006208073945058545,0.0036041318181034335,5.173394954215455e-05
BF__IGL.csv,,0.061975308641975306,0.0004938271604938272,0.07925925925925927,0.01950617283950617,,0.08691358024691358,,0.2577777777777778,0.03111111111111111,0.0854320987654321,,0.029135802469135802,,,,0.0014814814814814814,0.07703703703703704,0.02074074074074074,0.013827160493827161,0.0024691358024691358,,0.0014814814814814814,0.04567901234567901,,0.08123456790123457,0.0012345679012345679,0.03037037037037037,,0.0014814814814814814,,,0.005925925925925926,0.0012345679012345679,,0.016049382716049384,,0.01925925925925926,,,0.019753086419753086,,,0.005925925925925926,0.0032098765432098763,,
BW_10__IGL.csv,0.005272503015763293,0.0808360102468182,0.00012198593095596308,0.06808170346575584,0.041461662532699006,0.00021686387725504546,0.12098293552365849,,0.015654861139348594,0.05593732633947329,0.14096152021577957,0.037747868634706354,0.0310115344474715,,,1.3553992328440341e-05,0.0005014977161522927,0.03482020629176324,0.039509887637403596,0.0036324699440220118,0.0001897558925981648,,0.00047438973149541196,0.04703235337968799,,0.021889697610431153,8.132395397064206e-05,0.04197671424117974,,0.004649019368655037,,4.066197698532103e-05,0.0003659577928678892,0.0002846338388972472,0.06867807912820721,0.07412678404424024,0.0007996855473779801,0.0014773851637999973,1.3553992328440341e-05,0.0011656433402458695,0.0404857750850513,,0.0031580802125266,0.013310020466528415,0.0008267935320348609,0.0021686387725504547,4.066197698532103e-05
